entry_z,exit_z,pnl
0.39999999999999997,0.05,7260.0
0.5,0.05,7230.0
0.3,0.05,7170.0
0.6,0.05,6420.0
0.6,0.1,6420.0
0.5,0.1,5970.0
0.7999999999999999,0.05,5760.0
0.7999999999999999,0.1,5640.0
0.8999999999999999,0.05,5580.0
0.3,0.5,5490.0
0.8999999999999999,0.1,5340.0
1.0,0.1,5250.0
1.0,0.05,5190.0
0.3,0.1,5100.0
0.7,0.1,4980.0
0.7,0.05,4800.0
1.4,0.5,4710.0
0.6,0.15000000000000002,4680.0
0.5,0.45,4680.0
0.3,0.45,4650.0
0.5,0.15000000000000002,4620.0
0.7999999999999999,0.15000000000000002,4440.0
0.3,0.2,4320.0
1.0,0.5,4230.0
0.39999999999999997,0.1,4170.0
0.5,0.5,4170.0
0.6,0.5,4110.0
0.3,0.15000000000000002,3960.0
0.5,0.4,3960.0
0.7999999999999999,0.5,3960.0
0.3,0.35000000000000003,3900.0
0.8999999999999999,0.5,3870.0
0.7999999999999999,0.2,3780.0
0.5,0.35000000000000003,3660.0
0.39999999999999997,0.15000000000000002,3630.0
0.7,0.5,3630.0
0.8999999999999999,0.15000000000000002,3600.0
0.5,0.2,3600.0
1.2999999999999998,0.5,3480.0
0.7,0.15000000000000002,3420.0
0.6,0.2,3420.0
1.4,0.45,3390.0
0.7,0.2,3210.0
0.8999999999999999,0.2,3090.0
0.5,0.25,3000.0
0.6,0.4,2940.0
0.3,0.3,2880.0
0.39999999999999997,0.5,2790.0
0.6,0.45,2760.0
0.5,0.3,2730.0
1.0,0.4,2670.0
0.7,0.25,2640.0
0.39999999999999997,0.2,2640.0
1.5,0.5,2610.0
0.6,0.25,2580.0
1.4,0.05,2520.0
1.4,0.1,2490.0
0.3,0.25,2490.0
0.7999999999999999,0.4,2400.0
1.0,0.15000000000000002,2370.0
0.7,0.4,2370.0
0.6,0.35000000000000003,2310.0
0.39999999999999997,0.3,2280.0
1.0,0.2,2280.0
0.7,0.35000000000000003,2220.0
0.6,0.3,2190.0
1.2999999999999998,0.45,2160.0
0.7999999999999999,0.45,2160.0
0.39999999999999997,0.25,2160.0
1.0,0.35000000000000003,2100.0
0.7999999999999999,0.25,2070.0
1.0,0.45,2040.0
0.7,0.45,2010.0
0.7999999999999999,0.3,2010.0
0.7,0.3,2010.0
1.4,0.4,2010.0
0.3,0.4,1830.0
1.4,0.2,1800.0
1.4,0.15000000000000002,1770.0
1.2999999999999998,0.05,1710.0
1.2999999999999998,0.1,1680.0
0.7999999999999999,0.35000000000000003,1680.0
1.0999999999999999,0.5,1560.0
1.5,0.45,1530.0
0.39999999999999997,0.4,1440.0
1.0,0.25,1350.0
1.4,0.35000000000000003,1350.0
1.0,0.3,1320.0
0.39999999999999997,0.45,1290.0
1.2,0.5,1050.0
1.4,0.25,990.0
0.8999999999999999,0.35000000000000003,930.0
1.5,0.1,930.0
1.5,0.05,900.0
1.4,0.3,780.0
1.2999999999999998,0.4,780.0
0.8999999999999999,0.45,750.0
0.8999999999999999,0.4,720.0
0.8999999999999999,0.3,660.0
0.8999999999999999,0.25,630.0
0.39999999999999997,0.35000000000000003,600.0
1.2999999999999998,0.2,570.0
1.2999999999999998,0.15000000000000002,540.0
1.5,0.15000000000000002,270.0
1.5,0.2,180.0
1.5,0.4,150.0
1.2999999999999998,0.35000000000000003,120.0
1.0999999999999999,0.45,90.0
1.2999999999999998,0.25,-240.0
1.0999999999999999,0.05,-270.0
1.2,0.45,-300.0
1.5,0.35000000000000003,-300.0
1.0999999999999999,0.1,-330.0
1.2999999999999998,0.3,-450.0
1.2,0.05,-480.0
1.2,0.1,-540.0
1.5,0.25,-630.0
1.5,0.3,-900.0
1.0999999999999999,0.4,-1470.0
1.2,0.4,-1620.0
1.2,0.2,-1680.0
1.2,0.15000000000000002,-1710.0
1.0999999999999999,0.15000000000000002,-1980.0
1.2,0.35000000000000003,-2190.0
1.0999999999999999,0.2,-2370.0
1.2,0.3,-2460.0
1.2,0.25,-2490.0
1.0999999999999999,0.35000000000000003,-2700.0
1.0999999999999999,0.3,-3150.0
1.0999999999999999,0.25,-3180.0
